Filename,F0_mid,F0_median,Duration(ms.)
Clip17,NA,352,5091.364
Clip17,355,371,1828.765
Clip17,367,269,3669.438
Clip17,228,312,5292.998
Clip17,186,158,790.106
Clip17,269,324,7540.562
Clip17,113,212,1718.987
Clip17,NA,280,4950.72
Clip17,277,277,3951.405
Clip17,241,248,3737.125
Clip17,300,278,2961.312
Clip17,NA,355,2624.459
Clip17,224,246,3072.177
Clip17,428,416,4254.25
Clip17,223,238,9906.875
Clip17,400,315,6529.299
Clip17,360,322,2920.744
Clip17,241,249,3090.631
Clip17,364,263,5332.671
Clip17,321,328,1132.37
Clip17,NA,376,1722.488
Clip17,NA,277,4715.75
Clip18,260,235,1715.488
Clip18,172,175,1389.746
Clip18,269,268,2918.248
Clip18,232,237,542.625
Clip18,290,289,777.04
Clip18,332,235,2646.313
Clip18,279,244,3902.938
Clip18,343,280,2225.313
Clip18,NA,253,2674.495
Clip18,285,289,3582.305
Clip18,454,279,6809.539
Clip18,247,242,3973.301
Clip18,NA,229,562.165
Clip18,NA,190,2535.699
Clip18,230,229,4766.676
Clip18,NA,267,1104.15
Clip18,440,304,2784.005
Clip18,400,300,2813.714
Clip18,NA,250,7341.833
Clip18,NA,347,3626.754
Clip18,247,308,1895.71
Clip18,448,323,3173.135
Clip18,345,289,6329.227
Clip18,NA,248,1045.526
Clip18,320,310,1524.692
Clip18,338,415,1463.884
Clip18,418,418,2613.19
Clip18,NA,263,1084.198
Clip18,226,274,1230.054
Clip18,NA,274,7215.625
Clip18,NA,237,1967.312
Clip18,NA,245,874.456
Clip18,327,271,2975.076
Clip18,NA,238,2465.298
Clip18,NA,385,1830.788
Clip18,NA,295,3507.813
Clip18,359,261,3417.375
Clip18,207,230,3805.438
Clip18,NA,219,2317.062
Clip18,296,259,3396.274
Clip18,246,256,3204.5
Clip18,325,257,613.937
Clip18,NA,218,2011.918
Clip18,346,267,2962.187
Clip18,262,268,6401.267
Clip18,277,221,4018.535
Clip18,344,381,339.937
Clip18,311,321,2043.225
Clip18,205,229,2895.502
Clip18,203,201,1846.031
Clip18,282,265,1765.867
Clip18,NA,295,3200.9
Clip18,335,340,1507.739
Clip18,284,240,1223.79
Clip18,NA,236,1755.75
Clip18,289,298,435.937
Clip18,283,335,2164.375
Clip18,354,252,3681.313
Clip18,280,254,2294.88
Clip18,270,263,987.911
Clip18,206,220,1156.027
Clip18,314,291,3667.815
Clip18,NA,282,4027.438
Clip18,226,234,3577.75
Clip18,NA,211,1618.065
Clip18,NA,218,2073.125
Clip18,423,205,2129.427
Clip18,297,299,3004.836
Clip18,297,252,1519.167
Clip19,NA,315,1187
Clip19,259,345,2689.626
Clip19,330,278,1687.701
Clip19,281,365,2833.574
Clip19,228,257,897.195
Clip19,NA,412,1923.5
Clip19,375,301,1302.328
Clip19,233,225,475.562
Clip19,249,239,1179.625
Clip19,228,256,822.283
Clip19,258,257,901.544
Clip19,245,267,1337.629
Clip19,213,236,766.075
Clip19,157,239,2064.506
Clip19,259,260,1183.625
Clip19,216,237,1023.188
Clip2,192,176,503.583
Clip2,329,321,3127.232
Clip2,NA,351,904.26
Clip2,332,385,1073.809
Clip2,414,415,772.389
Clip2,367,410,1281.035
Clip2,163,177,998.454
Clip2,384,376,810.066
Clip2,NA,169,885.421
Clip2,229,182,4031.492
Clip2,188,193,2486.715
Clip2,NA,366,2545.301
Clip2,317,303,855.093
Clip2,359,316,1036.131
Clip2,187,172,5011.107
Clip2,193,192,2825.812
Clip2,172,182,3541.685
Clip2,276,259,1507.1
Clip2,206,222,6643.463
Clip2,157,188,3234.625
Clip2,NA,214,2764.439
Clip2,480,449,1124.972
Clip2,398,412,2119.062
Clip2,NA,404,3003.188
Clip2,NA,427,3398.976
Clip2,NA,320,633.112
Clip2,NA,279,2813.063
Clip2,203,194,3905.995
Clip2,181,220,3703.271
Clip2,484,396,500.762
Clip2,219,214,5351.695
Clip2,252,258,1115.875
Clip2,NA,139,432.437
Clip2,184,219,2105.243
Clip2,NA,275,2258.625
Clip2,NA,470,2077.426
Clip2,446,461,692.014
Clip2,NA,473,1015.411
Clip2,355,353,987.437
Clip2,NA,295,1096.625
Clip2,286,292,1420.375
Clip2,238,236,6504.375
Clip2,NA,204,1874.455
Clip2,322,389,1278.125
Clip2,282,292,1373.233
Clip2,337,328,363.736
Clip2,NA,251,3728.437
Clip2,NA,236,3678.063
Clip2,261,250,2138.328
Clip2,364,383,3410.151
Clip2,360,377,1477.062
Clip2,NA,207,2118.188
Clip2,198,200,7902.125
Clip2,137,142,829.475
Clip2,495,450,1994.668
Clip2,321,302,3129.203
Clip2,238,224,2209.304
Clip2,255,256,1915.491
Clip2,NA,356,3140.536
Clip2,282,253,7464.902
Clip2,160,170,1488.261
Clip2,382,377,1978.069
Clip2,269,299,355.25
Clip2,NA,213,1670.437
Clip2,178,218,1349.437
Clip2,180,288,5199.125
Clip2,NA,460,2600.037
Clip2,170,173,1678.812
Clip2,NA,229,1550.226
Clip2,150,253,3161.75
Clip2,208,217,869.175
Clip2,426,390,3334.458
Clip2,487,278,2597.25
Clip2,NA,344,1796.723
Clip2,158,160,1544.625
Clip2,NA,350,1725.175
Clip2,254,226,2296.813
Clip2,180,262,3332.188
Clip2,237,240,746.25
Clip2,144,147,1589.688
Clip2,318,319,3650.688
Clip2,130,338,432.062
Clip2,411,448,1241.938
Clip2,416,425,843.75
Clip2,214,211,2449.037
Clip2,294,240,2591.747
Clip2,292,290,2539.75
Clip2,NA,364,2777.938
Clip2,548,486,1785.062
Clip2,NA,369,1478.842
Clip2,274,274,2290.03
Clip2,335,331,2372.75
Clip20,150,162,618.375
Clip20,176,206,573.062
Clip20,NA,274,2622.673
Clip20,174,188,1872.938
Clip20,NA,228,861.833
Clip20,157,185,4422.788
Clip20,199,196,1993.875
Clip20,NA,186,2854.388
Clip20,200,199,1874.125
Clip20,175,210,1952.72
Clip20,184,179,344.392
Clip20,NA,303,2484.063
Clip20,NA,NA,521.062
Clip20,187,213,3150.813
Clip20,NA,227,2148.625
Clip20,NA,199,972.614
Clip20,NA,200,749.562
Clip20,NA,233,587.063
Clip20,NA,280,670.662
Clip20,194,206,1006
Clip20,NA,282,794.499
Clip20,NA,215,1352.018
Clip20,515,287,2424.159
Clip20,109,127,764.764
Clip20,193,185,1247.192
Clip20,NA,217,1561.157
Clip20,110,266,1424.019
Clip20,241,254,1032.5
Clip20,271,187,1222.014
Clip20,160,181,1415.29
Clip20,NA,213,335.763
Clip20,NA,239,2635.816
Clip20,230,229,1008.373
Clip20,NA,205,1865.824
Clip20,NA,119,1424.563
Clip20,NA,167,2781.846
Clip20,104,97,3040.176
Clip20,NA,108,2060.432
Clip20,223,224,390.688
Clip20,235,234,874.375
Clip20,162,168,913
Clip20,211,280,1035.023
Clip20,214,216,2922.174
Clip20,258,227,1224.213
Clip21,200,189,455.312
Clip21,215,214,803.528
Clip21,205,241,2722.948
Clip21,210,217,588.813
Clip21,204,211,4468.407
Clip21,280,245,3598.75
Clip21,201,216,3791.625
Clip21,NA,235,1808.52
Clip21,213,200,408.51
Clip21,258,227,1642.844
Clip21,208,227,488.507
Clip21,590,342,2848.438
Clip21,NA,228,1648.39
Clip21,262,251,768.817
Clip21,262,301,3026.25
Clip21,152,187,728.672
Clip21,196,248,2081.682
Clip21,220,199,1593.687
Clip21,227,277,2278.418
Clip21,NA,192,2138.198
Clip21,224,215,1761.423
Clip21,186,185,489.807
Clip21,187,205,4163.286
Clip21,205,226,608.874
Clip21,212,202,5510.334
Clip21,216,235,1940.391
Clip21,NA,216,1620.132
Clip21,NA,198,1038.951
Clip21,NA,256,1854.147
Clip21,191,200,529.338
Clip21,226,225,549.375
Clip21,NA,200,1808.52
Clip21,209,232,879.394
Clip21,201,129,600.121
Clip21,291,253,3708.233
Clip21,308,280,819.365
Clip21,91,225,5142.604
Clip21,205,217,2059.371
Clip21,NA,188,2084.438
Clip21,180,198,4768.908
Clip21,NA,197,1509.467
Clip21,285,216,2573.312
Clip21,NA,197,2143.024
Clip21,211,250,2970.127
Clip21,NA,219,5508.312
Clip21,213,212,1667.23
Clip21,212,210,1339.375
Clip21,198,204,954.416
Clip21,104,142,1378.25
Clip21,93,93,489.377
Clip21,190,216,2999.25
Clip21,NA,229,3189.224
Clip21,216,202,1678.75
Clip21,240,235,1299.874
Clip21,169,220,649.076
Clip21,NA,220,1749.346
Clip21,188,243,2409.195
Clip21,199,220,1127.946
Clip21,NA,215,2289.375
Clip21,261,248,1499.062
Clip22,NA,356,754.852
Clip22,NA,NA,429.594
Clip22,NA,315,1686.068
Clip22,NA,210,3642.429
Clip22,NA,323,2698.758
Clip22,NA,192,1869.499
Clip22,NA,84,1428.624
Clip22,NA,252,692.051
Clip22,NA,227,928.286
Clip22,NA,195,1682.433
Clip22,NA,229,593.488
Clip22,NA,202,1496.749
Clip22,252,221,1384.648
Clip22,NA,263,2413.51
Clip22,NA,211,2079.532
Clip22,NA,196,2109.136
Clip22,560,219,1803.462
Clip22,263,293,1185.491
Clip22,NA,247,929.9
Clip22,NA,116,877.625
Clip22,NA,192,770.241
Clip22,NA,229,806.09
Clip22,269,268,1111.834
Clip22,397,308,1186.494
Clip22,242,253,1629.552
Clip22,NA,292,1995.563
Clip22,NA,247,4075.607
Clip22,219,215,831.559
Clip22,NA,236,876.002
Clip22,405,276,2721.309
Clip22,NA,264,2409.724
Clip22,211,204,734.711
Clip22,263,263,1093.304
Clip22,NA,218,6553.634
Clip22,98,98,635.596
Clip22,NA,215,1508.437
Clip22,225,209,1525.939
Clip22,214,223,1896.889
Clip22,NA,224,3424.811
Clip22,NA,191,951.952
Clip22,NA,255,1724.683
Clip22,240,289,1941.603
Clip23,NA,282,2440.438
Clip23,NA,272,814.125
Clip23,NA,367,1087.25
Clip23,NA,239,1054.97
Clip23,NA,219,793.187
Clip23,196,200,337.726
Clip23,215,208,1171.536
Clip23,NA,243,3843.105
Clip23,NA,235,2989.313
Clip23,229,230,873.858
Clip23,NA,252,2806.974
Clip23,NA,210,3376.063
Clip23,282,282,924.688
Clip23,337,337,905.97
Clip23,199,254,1455.75
Clip23,279,270,2667.625
Clip23,248,237,2770.375
Clip23,NA,312,1678.782
Clip23,NA,190,2312.146
Clip23,NA,200,1107.977
Clip23,223,237,2250.441
Clip23,219,209,775.261
Clip23,NA,182,2040.312
Clip23,NA,207,792.853
Clip23,218,278,4034.724
Clip23,NA,253,703.25
Clip23,292,300,1636.024
Clip23,183,284,2472.319
Clip23,243,232,1569.125
Clip23,NA,234,445.284
Clip23,207,261,4013.812
Clip23,302,340,532.357
Clip23,NA,224,1691.875
Clip23,336,336,3142.438
Clip23,174,179,1916.318
Clip23,NA,198,2190.894
Clip23,NA,315,3381.937
Clip23,NA,NA,893.455
Clip23,269,265,1778.851
Clip23,277,220,1288.437
Clip23,NA,255,1214.938
Clip23,NA,121,341.514
Clip23,NA,NA,1356.213
Clip23,NA,244,395.985
Clip23,NA,209,625.293
Clip23,NA,295,3947.231
Clip23,385,265,3130.562
Clip23,NA,270,1374.952
Clip23,NA,273,1434.933
Clip23,310,306,1113.224
Clip23,NA,319,871.362
Clip23,305,267,1294.059
Clip24,NA,242,3747.113
Clip24,NA,243,6515.509
Clip24,NA,254,2533.607
Clip24,338,272,5610.647
Clip24,305,298,2285.239
Clip24,NA,154,862.812
Clip24,NA,234,2267.875
Clip24,NA,224,1038.745
Clip24,NA,268,1513.968
Clip24,NA,219,622.438
Clip24,NA,348,2587.353
Clip24,363,289,1157.562
Clip24,90,205,822.938
Clip24,252,246,1817.804
Clip24,NA,199,716.248
Clip24,150,164,3060.415
Clip24,NA,283,3973.2
Clip24,NA,246,2911.83
Clip24,NA,236,3184.597
Clip24,NA,246,4556.154
Clip24,NA,232,1571.208
Clip24,NA,284,2428.067
Clip24,NA,208,989.904
Clip24,NA,264,1578.153
Clip24,NA,NA,1103.667
Clip24,301,217,2048.109
Clip24,NA,127,455.692
Clip24,NA,211,2428.067
Clip24,NA,219,2836.938
Clip24,,,
Clip24,NA,326,7809.538
Clip24,NA,293,2174.421
Clip24,NA,231,837.569
Clip24,297,287,577.57
Clip24,185,217,1782.43
Clip24,193,203,1615.473
Clip24,107,257,2546.953
Clip24,356,270,3207.126
Clip24,NA,284,5990.939
Clip24,NA,182,2246.599
Clip24,NA,262,2233.302
Clip24,NA,264,840.937
Clip24,NA,233,1376.186
Clip24,NA,252,2640.678
Clip24,NA,236,1869.741
Clip24,217,218,711.375
Clip24,NA,250,3204.375
Clip24,299,275,2995.313
Clip24,269,236,1218.81
Clip24,NA,204,4574.118
Clip24,217,213,343.242
Clip24,NA,360,1848.906
Clip24,NA,271,3274.925
Clip24,NA,332,1558.118
Clip25,303,291,871.237
Clip25,NA,233,3843.357
Clip25,NA,246,5596.5
Clip25,367,356,8453.802
Clip25,219,197,5256.658
Clip25,190,189,4631.625
Clip25,249,239,4244.813
Clip25,296,294,2837.503
Clip25,NA,270,4206.918
Clip25,428,338,324.608
Clip25,243,268,461.813
Clip25,223,229,1012.776
Clip25,224,215,409.563
Clip25,280,239,691.75
Clip25,474,262,1113.395
Clip25,171,250,635
Clip25,259,252,2004
Clip25,286,223,2480.004
Clip25,206,196,1560.192
Clip25,191,192,1552.489
Clip25,NA,282,2960.424
Clip25,NA,285,2245.747
Clip25,499,419,3596.655
Clip25,230,216,4395.279
Clip25,NA,406,1921.678
Clip25,277,280,2544.813
Clip25,405,406,1545.133
Clip25,NA,273,1741.375
Clip25,269,256,996.439
Clip25,216,217,2867.212
Clip25,234,278,3693.875
Clip25,299,261,1273
Clip25,NA,239,5358.125
Clip25,253,274,1540.737
Clip25,306,294,1825
Clip25,258,258,1355.173
Clip25,NA,234,943.334
Clip25,388,248,3854.262
Clip25,NA,247,6342.643
Clip25,NA,272,3507.737
Clip25,277,239,2402.098
Clip25,NA,247,2142.412
Clip25,NA,232,5060.15
Clip25,599,557,2512.062
Clip25,337,434,3427.592
Clip25,360,355,777.625
Clip25,287,268,605
Clip26,427,437,2308.613
Clip26,348,352,1372.125
Clip26,277,322,4023.373
Clip26,460,428,4198.99
Clip26,352,365,824.198
Clip26,212,392,2631.839
Clip26,398,293,2755.474
Clip26,359,282,610.263
Clip26,446,394,1394.056
Clip26,211,217,861.323
Clip26,NA,273,1094.694
Clip26,286,257,2518.957
Clip26,NA,284,3921.263
Clip26,301,289,1126.5
Clip26,305,297,1377.188
Clip26,376,240,2683.25
Clip26,259,257,1238.75
Clip26,240,269,3451.104
Clip26,NA,281,381.947
Clip26,97,97,379.125
Clip26,271,316,543.375
Clip26,197,196,587.187
Clip26,NA,245,1785.687
Clip26,262,243,609.5
Clip26,NA,225,636.231
Clip26,199,233,5997.899
Clip26,NA,188,1077.469
Clip26,153,210,1376.337
Clip26,260,251,1179.125
Clip26,245,258,2014.875
Clip26,NA,230,4746.313
Clip26,182,215,2302.688
Clip26,175,204,1726.914
Clip26,356,245,1687.961
Clip26,297,241,1350.369
Clip26,318,403,1401.912
Clip26,179,222,1720.25
Clip26,237,267,6017.063
Clip26,476,466,1277
Clip26,512,405,2186.875
Clip26,445,374,1177.25
Clip26,NA,226,2406.563
Clip26,336,325,858.937
Clip26,513,429,454.451
Clip26,352,352,812.111
Clip26,313,343,916.439
Clip26,301,338,1180.132
Clip26,352,304,537.233
Clip26,185,327,1508.181
Clip26,257,253,383.407
Clip26,NA,223,1244.687
Clip26,288,275,975.909
Clip26,177,198,1170.902
Clip26,172,197,1129.635
Clip26,NA,186,632.968
Clip26,231,305,1321.228
Clip26,356,305,1748.25
Clip26,376,294,2218.688
Clip26,270,272,458.438
Clip26,354,318,737.938
Clip26,NA,197,666.388
Clip26,NA,306,3407.187
Clip26,NA,306,3763.437
Clip26,177,174,251.75
Clip26,357,316,778.223
Clip26,NA,271,1742.125
Clip26,327,305,2551.434
Clip26,265,268,1033.062
Clip26,280,285,608.166
Clip26,266,266,1057.368
Clip26,203,251,3868.875
Clip26,244,241,3656.263
Clip26,191,244,4329.09
Clip26,234,232,988.472
Clip26,136,308,5354.437
Clip26,209,226,1919.813
Clip26,194,208,3641.265
Clip26,368,225,3233.094
Clip26,298,230,963.813
Clip26,247,240,714.588
Clip26,381,317,1037.275
Clip26,160,160,376.008
Clip27,239,240,4040.265
Clip27,236,212,4245.096
Clip27,304,261,3830.414
Clip27,220,218,581.609
Clip27,349,321,741.28
Clip27,427,405,649.25
Clip27,NA,295,2556.812
Clip27,195,207,1189.844
Clip27,193,197,1945.813
Clip27,347,371,6791.5
Clip27,NA,240,3871.563
Clip27,NA,219,4154.98
Clip27,243,194,1124.772
Clip27,218,229,1212.688
Clip27,NA,294,3021.142
Clip27,419,243,5009.928
Clip27,NA,249,5337.629
Clip27,379,315,9374.865
Clip27,326,322,461.75
Clip27,NA,166,1025.761
Clip27,200,176,983.348
Clip27,208,184,569.016
Clip27,NA,163,1311.039
Clip27,169,167,380.813
Clip27,171,170,1352.615
Clip27,205,209,404.173
Clip27,255,298,2220.318
Clip27,171,246,3337.5
Clip27,NA,328,3080.875
Clip27,201,186,835.625
Clip27,346,329,319.688
Clip27,222,239,1398.75
Clip27,314,292,494.812
Clip27,NA,198,804.267
Clip27,278,257,1265.562
Clip27,298,257,516.961
