ClipNumber,Id,Lastname,Firstname,Age,Sex,ProcessingFile,Timestamp,Duration,Meaningful,Distant,TV,TV.Pct,Noise,Silence,AWC,,,CTC,,,CVC,,,,,StartTime,EndTime,StartTimeS,EndTimeS
47,C074,Seg1,S28,7m; 11d,F,20190328_135929_031778.its,25/03/2019 21:30,0:05:00,0:00:59,0:00:18,0:00:00,0%,0:00:07,0:03:36,67,,,1,,,3,,,94.04,34%,12:34:03,,45243,45543
48,C078,Seg2-CDI-Moma,C15-(S21)-P39,13m; 20d,F,20190617_132724_031494.its,12/06/2019 21:10,0:05:00,0:02:45,0:01:01,0:00:00,0%,0:00:21,0:00:53,123,,,14,,,70,,,110.13,74%,11:49:55,,42595,42895
49,C090,Moma-Music,M39-P21,17m; 2d,M,20190416_143151_031780.its,13/04/2019 21:55,0:05:00,0:02:50,0:00:44,0:00:00,0%,0:00:02,0:01:24,575,,,6,,,6,,,92.45,30%,12:35:24,,45324,45624
50,C090,Moma-Music,M39-P21,17m; 2d,M,20190416_143151_031780.its,13/04/2019 21:45,0:05:00,0:03:19,0:01:09,0:00:00,0%,0:00:03,0:00:29,685,,,8,,,8,,,92.45,30%,12:25:24,,44724,45024
51,C090,Moma-Music,M39-P21,17m; 2d,M,20190416_143151_031780.its,13/04/2019 20:40,0:05:00,0:02:19,0:02:21,0:00:05,2%,0:00:00,0:00:15,585,,,0,,,0,,,92.45,30%,11:20:24,,40824,41124
52,C027,Music,M01,18m; 13d,M,20190114_142126_012242.its,09/01/2019 21:05,0:05:00,0:01:47,0:00:47,0:00:03,2%,0:00:19,0:02:04,112,,,7,,,40,,,84.27,14%,4:16:28,,15388,15688
53,C097,Seg1,S35,7m; 26d,M,20190502_145902_031495.its,29/04/2019 12:30,0:05:00,0:02:54,0:00:49,0:00:01,1%,0:00:05,0:01:11,102,,,14,,,110,,,112.85,80%,4:00:52,,14452,14752
54,C097,Seg1,S35,7m; 26d,M,20190502_145902_031495.its,29/04/2019 17:05,0:05:00,0:03:08,0:00:18,0:00:00,0%,0:00:07,0:01:27,184,,,24,,,91,,,112.85,80%,8:35:52,,30952,31252
55,C106,Seg1,S37,7m; 9d,M,20190515_111624_031782.its,11/05/2019 15:40,0:05:00,0:02:07,0:00:26,0:00:00,0%,0:00:02,0:02:25,48,,,8,,,63,,,107.82,69%,4:29:25,,16165,16465
56,C106,Seg1,S37,7m; 9d,M,20190515_111624_031782.its,11/05/2019 22:30,0:05:00,0:03:52,0:00:13,0:00:04,1%,0:00:04,0:00:47,18,,,3,,,117,,,107.82,69%,11:19:25,,40765,41065
57,C111,Seg2,S35,11m; 8d,M,20190603_160121_031775.its,28/05/2019 16:50,0:05:00,0:02:11,0:00:59,0:00:01,1%,0:00:06,0:01:43,60,,,11,,,77,,,115.54,84%,1:59:38,,7178,7478
58,C113,Seg1,S39,9m; 13d,M,20190604_170848_031782.its,28/05/2019 12:10,0:05:00,0:02:55,0:01:08,0:00:00,0%,0:00:10,0:00:47,204,,,21,,,100,,,102.64,56%,4:49:49,,17389,17689
59,C114,Moma,P37,18m; 10d,M,20190612_113359_031781.its,09/06/2019 15:35,0:05:00,0:00:26,0:02:28,0:00:10,4%,0:00:35,0:01:21,33,,,5,,,11,,,86.84,18%,5:26:19,,19579,19879
60,C114,Moma,P37,18m; 10d,M,20190612_113359_031781.its,09/06/2019 17:55,0:05:00,0:02:50,0:00:17,0:00:00,0%,0:00:02,0:01:51,381,,,19,,,26,,,86.84,18%,7:46:19,,27979,28279
